,Ozone,Solar,Wind,Temp in C,Month,Day,Year,Temp,Weather
0,41.0,190.0,7.4,67.0,5.0,1,2010,67,S
1,36.0,118.0,8.0,72.0,5.0,2,2010,72,C
2,12.0,149.0,12.6,74.0,5.0,3,2010,74,PS
3,18.0,313.0,11.5,62.0,5.0,4,2010,62,S
6,23.0,299.0,8.6,65.0,5.0,7,2010,65,PS
7,19.0,99.0,13.8,59.0,5.0,8,2010,59,C
8,8.0,19.0,20.1,61.0,5.0,9,2010,61,PS
11,16.0,256.0,9.7,69.0,5.0,12,2010,69,PS
12,11.0,290.0,9.2,66.0,5.0,13,2010,66,S
13,14.0,274.0,10.9,68.0,5.0,14,2010,68,S
14,18.0,65.0,13.2,58.0,5.0,15,2010,58,C
15,14.0,334.0,11.5,64.0,5.0,16,2010,64,S
16,34.0,307.0,12.0,66.0,5.0,17,2010,66,S
17,6.0,78.0,18.4,57.0,5.0,18,2010,57,C
18,30.0,322.0,11.5,68.0,5.0,19,2010,68,PS
19,11.0,44.0,9.7,62.0,5.0,20,2010,62,S
20,1.0,8.0,9.7,59.0,5.0,21,2010,59,S
21,11.0,320.0,16.6,73.0,5.0,22,2010,73,C
22,4.0,25.0,9.7,61.0,5.0,23,2010,61,PS
27,23.0,13.0,12.0,67.0,5.0,28,2010,67,S
28,45.0,252.0,14.9,81.0,5.0,29,2010,81,S
29,115.0,223.0,5.7,79.0,5.0,30,2010,79,C
30,37.0,279.0,7.4,76.0,5.0,31,2010,76,PS
37,29.0,127.0,9.7,82.0,6.0,7,2010,82,PS
39,71.0,291.0,13.8,90.0,6.0,9,2010,90,S
40,39.0,323.0,11.5,87.0,6.0,10,2010,87,S
43,23.0,148.0,8.0,82.0,6.0,13,2010,82,S
46,21.0,191.0,14.9,77.0,6.0,16,2010,77,PS
47,37.0,284.0,20.7,72.0,6.0,17,2010,72,C
48,20.0,37.0,9.2,65.0,6.0,18,2010,65,PS
49,12.0,120.0,11.5,73.0,6.0,19,2010,73,S
50,13.0,137.0,10.3,76.0,6.0,20,2010,76,S
61,135.0,269.0,4.1,84.0,7.0,1,2010,84,S
62,49.0,248.0,9.2,85.0,7.0,2,2010,85,C
63,32.0,236.0,9.2,81.0,7.0,3,2010,81,PS
65,64.0,175.0,4.6,83.0,7.0,5,2010,83,S
66,40.0,314.0,10.9,83.0,7.0,6,2010,83,C
67,77.0,276.0,5.1,88.0,7.0,7,2010,88,C
68,97.0,267.0,6.3,92.0,7.0,8,2010,92,PS
69,97.0,272.0,5.7,92.0,7.0,9,2010,92,C
70,85.0,175.0,7.4,89.0,7.0,10,2010,89,PS
72,10.0,264.0,14.3,73.0,7.0,12,2010,73,S
73,27.0,175.0,14.9,81.0,7.0,13,2010,81,S
75,7.0,48.0,14.3,80.0,7.0,15,2010,80,PS
76,48.0,260.0,6.9,81.0,7.0,16,2010,81,S
77,35.0,274.0,10.3,82.0,7.0,17,2010,82,S
78,61.0,285.0,6.3,84.0,7.0,18,2010,84,C
79,79.0,187.0,5.1,87.0,7.0,19,2010,87,PS
80,63.0,220.0,11.5,85.0,7.0,20,2010,85,C
81,16.0,7.0,6.9,74.0,7.0,21,2010,74,S
84,80.0,294.0,8.6,86.0,7.0,24,2010,86,PS
85,108.0,223.0,8.0,85.0,7.0,25,2010,85,PS
86,20.0,81.0,8.6,82.0,7.0,26,2010,82,C
88,82.0,213.0,7.4,88.0,7.0,28,2010,88,S
89,50.0,275.0,7.4,86.0,7.0,29,2010,86,C
90,64.0,253.0,7.4,83.0,7.0,30,2010,83,PS
91,59.0,254.0,9.2,81.0,7.0,31,2010,81,C
92,39.0,83.0,6.9,81.0,8.0,1,2010,81,PS
94,16.0,77.0,7.4,82.0,8.0,3,2010,82,PS
98,122.0,255.0,4.0,89.0,8.0,7,2010,89,C
99,89.0,229.0,10.3,90.0,8.0,8,2010,90,PS
100,110.0,207.0,8.0,90.0,8.0,9,2010,90,C
103,44.0,192.0,11.5,86.0,8.0,12,2010,86,S
104,28.0,273.0,11.5,82.0,8.0,13,2010,82,S
105,65.0,157.0,9.7,80.0,8.0,14,2010,80,C
107,22.0,71.0,10.3,77.0,8.0,16,2010,77,C
108,59.0,51.0,6.3,79.0,8.0,17,2010,79,PS
109,23.0,115.0,7.4,76.0,8.0,18,2010,76,C
110,31.0,244.0,10.9,78.0,8.0,19,2010,78,PS
111,44.0,190.0,10.3,78.0,8.0,20,2010,78,S
112,21.0,259.0,15.5,77.0,8.0,21,2010,77,S
113,9.0,36.0,14.3,72.0,8.0,22,2010,72,C
115,45.0,212.0,9.7,79.0,8.0,24,2010,79,C
116,168.0,238.0,3.4,81.0,8.0,25,2010,81,PS
117,73.0,215.0,8.0,86.0,8.0,26,2010,86,S
119,76.0,203.0,9.7,97.0,8.0,28,2010,97,S
120,118.0,225.0,2.3,94.0,8.0,29,2010,94,S
121,84.0,237.0,6.3,96.0,8.0,30,2010,96,S
122,85.0,188.0,6.3,94.0,8.0,31,2010,94,C
123,96.0,167.0,6.9,91.0,9.0,1,2010,91,C
124,78.0,197.0,5.1,92.0,9.0,2,2010,92,PS
125,73.0,183.0,2.8,93.0,9.0,3,2010,93,C
126,91.0,189.0,4.6,93.0,9.0,4,2010,93,PS
127,47.0,95.0,7.4,87.0,9.0,5,2010,87,S
128,32.0,92.0,15.5,84.0,9.0,6,2010,84,S
129,20.0,252.0,10.9,80.0,9.0,7,2010,80,S
130,23.0,220.0,10.3,78.0,9.0,8,2010,78,C
131,21.0,230.0,10.9,75.0,9.0,9,2010,75,PS
132,24.0,259.0,9.7,73.0,9.0,10,2010,73,C
133,44.0,236.0,14.9,81.0,9.0,11,2010,81,PS
134,21.0,259.0,15.5,76.0,9.0,12,2010,76,S
135,28.0,238.0,6.3,77.0,9.0,13,2010,77,S
136,9.0,24.0,10.9,71.0,9.0,14,2010,71,PS
137,13.0,112.0,11.5,71.0,9.0,15,2010,71,PS
138,46.0,237.0,6.9,78.0,9.0,16,2010,78,S
139,18.0,224.0,13.8,67.0,9.0,17,2010,67,PS
140,13.0,27.0,10.3,76.0,9.0,18,2010,76,S
141,24.0,238.0,10.3,68.0,9.0,19,2010,68,C
142,16.0,201.0,8.0,82.0,9.0,20,2010,82,PS
143,13.0,238.0,12.6,64.0,9.0,21,2010,64,PS
144,23.0,14.0,9.2,71.0,9.0,22,2010,71,S
145,36.0,139.0,10.3,81.0,9.0,23,2010,81,S
146,7.0,49.0,10.3,69.0,9.0,24,2010,69,C
147,14.0,20.0,16.6,63.0,9.0,25,2010,63,PS
148,30.0,193.0,6.9,70.0,9.0,26,2010,70,C
150,14.0,191.0,14.3,75.0,9.0,28,2010,75,S
151,18.0,131.0,8.0,76.0,9.0,29,2010,76,PS
152,20.0,223.0,11.5,68.0,9.0,30,2010,68,S
153,41.0,190.0,7.4,67.0,5.0,1,2010,67,C
154,30.0,193.0,6.9,70.0,9.0,26,2010,70,PS
157,18.0,131.0,8.0,76.0,9.0,29,2010,76,C
